symbol,x-coord,y-coord
H,0,0
N,0,1
S,0,-1
E,1,0
W,-1,0
NE,1,1
NW,-1,1
SE,1,-1
SW,-1,-1
EE,2,0
WW,-2,0
NN,0,2
SS,0,-2
EEN,2,1
EES,2,-1
WWN,-2,1
WWS,-2,-1
NNE,1,2
NNW,-1,2
SSE,1,-2
SSW,-1,-2
NNWW,-2,2
NNEE,2,2
SSWW,-2,-2
SSEE,2,-2
